address,choice,balance,timestamp,dateUtc,authorIpfsHash,relayerIpfsHash
0xD0D1c35e385677437b308450533bA5120c216214,1,607.9178507918953,1620377155,"Fri, 07 May 2021 08:45:55 GMT",QmXnH4mL115wNjq5yP3y9pe6yvrfWQPUwU29AMyvZMmak4,QmZY7HVv5Wrdo8hUeZxgpjWWT3fZofA2iXR4cwEjBEJLDT
0x8A7Ea886E45656ec1697c4A5e20450cFe8D62A83,1,1110.3000315537806,1620377180,"Fri, 07 May 2021 08:46:20 GMT",QmUTCTB4EHxyV1AeoqLJrBn7vG1SsxzyBcRZRwpsEEYZjB,Qmc6s3grEGv431AkEU8t3VtqMGLRNfK8YvH12Jxpayb9u3
0x6502bc1deeB61C1Fce5151e90bCBE51Fc75CfB10,1,600.1055792962103,1620381238,"Fri, 07 May 2021 09:53:58 GMT",QmPh4djamqU6iZJdnGi7wmNZkVYEHnP2R9T8y6XbaMumNE,QmUEtP64qktfdiq5iaGGV6LqphAzNX6jFM5x9DyTvfbUPf
0x19256dFF4Fb712818c693DD6B097bdcd79dC5381,1,698.1269316503341,1620381509,"Fri, 07 May 2021 09:58:29 GMT",QmW7cwjQ9jc1xGtWT2pCLfzobgUjuA7EhQ3Zk28BgUiLGf,QmW7ZBDMdGgN8oJUTjGXLsUV6PxDBGk37NiqKSMgCqLPDR
0x7B80ce4c3bFaDD878D93Bf5220b0663B345AC662,1,288.6080534506505,1620384785,"Fri, 07 May 2021 10:53:05 GMT",QmaatKRvuSHzwapiWnbfS4x8gKovwQXn7mDt4vHa2fA9BE,QmPhzMSVcoCBvR899itwXLRYHzSjHuQcyhiodUFyZ5GG9R
0x2ffe1CebBD2e6934f1A9e2BC4A0940d8c78cFf6D,1,337.09618485404246,1620393027,"Fri, 07 May 2021 13:10:27 GMT",QmNMV4cLg4p7YmW8LzRLd6gQ7Zhcs5zjXvE6SNEsSnnsnU,QmejBL2FSkL1qqd6haoFMLy3NvnfcKZdCrvaaw7QQyCvkW
0x453430158943a4CBce379c9Dd32aA2f6e1b8C77f,2,699.4030730196298,1620394862,"Fri, 07 May 2021 13:41:02 GMT",QmZASBDh4AotqictwHmirxcLHnuAyGjYj8R54hzTUy4nEo,QmetaY46Lvaiobc1oTTo6HqX2a1YEghdUpize9gFygE9YS
0xD27066F0f981E7ffAAD33031cc75e1712743548D,1,10.315017981374462,1620399630,"Fri, 07 May 2021 15:00:30 GMT",QmZbHsxgrGxU3T6zfdZiQc92Jo7Fwbc8ZqDjT1eQyPe3dF,QmdzyssrwEyoZpN3JYEb7GpN9k43eaj86sh8nM81a7MfhG
0xBF569BA8b38a3844A01B52D29E03A9B433ff821e,1,18.53103631859565,1620406678,"Fri, 07 May 2021 16:57:58 GMT",QmSWPtoVjFVNF7htmhaK6ehRr4iQVtciCDceMfStxUi6Gq,QmYoQGGxFN7QdgHtB25bMg5dpijcYZPfXcqF1BhJu6Sw93
0xD9459cc85E78e0336aDb349EAbF257Dbaf9d5a2B,1,2073.4378674,1620412102,"Fri, 07 May 2021 18:28:22 GMT",QmbWjzKN2QoxgLD7Dd1GG3QjB1PxrhusVuL1W28yVTyzA7,Qme5fBBTVCgCH6aiKXyR9ucCGW8uiMU88mVfCvR6oymGca
0x851fB899dA7F80c211d9B8e5f231FB3BC9eca41a,2,1503.1803441839827,1620421821,"Fri, 07 May 2021 21:10:21 GMT",QmSBfznbM1YYd81RaHhqXYj8yrwMQ9QZptX8qFqSfpi85h,QmWViEx6WBA4hBFDSY9XykAhQZ6AC8VLiY3HaNQVLHopKQ
0x13828E80ACb4764ae5e19340617D444504CF6F2F,2,28.210547382075013,1620423072,"Fri, 07 May 2021 21:31:12 GMT",QmYu9etKWmN5egdcFbPW52qaHoX1hjgwNSfcESwL2sEteV,QmQhfCFhBmVxDoDFP4ddYP9xDCxsWr1fxHqDdMU7PKzMt9
0x116cEb3D8d258e2A97A1f05c901Ef508809f55ec,2,72.32366819135869,1620423621,"Fri, 07 May 2021 21:40:21 GMT",QmdMBhbe58V2JQz9BgFY2wC8iVSumeaLETXtBbMM8fsXhK,QmdthpR58gDFvrwkCzzQapCxeRuKGfoAqejfLVEHzdRmZy
0xc447384681aDfBb6AF5BB2D4a0e4DE05135ebFED,2,72,1620423623,"Fri, 07 May 2021 21:40:23 GMT",QmWVKHFAfb6AydVHRoBNKVgpgUiA5cERzaGrofUvNj3RqL,QmXLQHZdbarbGfZKgf5QXRVQvhyXzvjpnMvPahNUgVSfZ2
0xaCCfAA3a39F3681E07F5D6ECC0A9cdd86c2eb775,2,50,1620423652,"Fri, 07 May 2021 21:40:52 GMT",QmT7Tow6GZzEVsD5jAAfPFYiLF3pAtHB3FAaJqMkVPurr1,QmeXC6DbVWBNVj4WUJqipDzHDrq4N6BEN8Lu29hxGX1t2b
0x1FD7954AccA470AAF2725ead2B865fe8f7A7014E,2,1,1620423832,"Fri, 07 May 2021 21:43:52 GMT",QmdwQXtKLrRkrCxdgneRp1CxFA4PAmzeUGjVoSQ6Yzdhd9,QmNWHAAQr6teZyP7JGNU8XsbDR5MxsARVnYvKMMmz5i16E
